A,C,CF,time_added
"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0],0.12004091422238863,1636677706.8252301
"[0 0 0 0 0 3 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0
 0 0 1 0 0 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0
 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 2 0]",[0],0.005219785751318554,1636677706.8252301
"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1
 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0]",[0],0.03537686638713401,1636677706.8252301
"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1
 1 0 0 1 2 0 0 1 1 0 1 0 0 1 1 1 2 0]",[0],0.018477673261697754,1636677706.8252301
"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 2
 1 0 0 0 1 0 0 0 2 0 1 0 0 0 2 0 1 0]",[0],0.05223028039798829,1636677706.8252301
"[0 0 0 0 0 0 0 3 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0
 0 0 2 0 0 0 0 2 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0]",[0],0.009621289001942394,1636677706.8252301
"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 1 0 1 0 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 1 0 1 1 0 0 1
 1 0 0 1 2 2 1 0 0 0 0 0 1 0 0 1 2 0]",[0],0.006752709828562043,1636677706.8252301
"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 0 2
 0 0 0 1 2 1 0 1 0 0 1 0 0 0 0 1 2 0]",[0],0.010195421514569817,1636677706.8252301
"[0 0 0 0 0 0 0 3 0 1 0 0 0 0 1 2 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0
 0 0 2 0 0 0 0 2 0 0 0 1 1 1 0 1 1 1 2 0 1 1 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0
 1 0 2 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0]",[0],0.003221589274163003,1636677706.8252301
"[0 0 0 0 0 1 3 3 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 2 1 1 1
 0 0 0 1 0 0 2 2 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 2 1 1 1 1 0 0 2 2 0 1 0 1 0
 2 0 0 2 0 2 2 1 1 0 2 0 2 0 1 1 2 0]",[0],0.0017020413953159938,1636677706.8252301
"[0 0 0 0 0 0 2 0 2 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1
 0 1 0 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 2 0 0 0 1 1
 0 0 2 0 0 0 0 2 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 2 0 1 1 1 0
 1 0 0 1 0 2 2 1 1 0 2 0 2 0 1 1 2 0]",[0],0.005740940890943726,1636677706.8252301
"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 0 1 0 0 1 1 0 0 1 0 0 0 0 2 2 0 0]",[0],0.020948099059858692,1636677706.8252301
"[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1
 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0
 0 0 2 0 0 0 0 2 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 0 0 0 2 1 0 0 0
 0 0 1 0 2 1 1 0 0 2 2 0 0 0 2 2 2 0]",[0],0.00516815857471372,1636677706.8252301
"[0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
 0 0 2 1 0 0 0 2 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 2 0 1 1 0 0 0
 2 0 0 2 2 1 1 0 0 0 0 1 2 0 0 0 2 0]",[0],0.0016481528809242627,1636677706.8252301
"[0 0 0 0 0 0 0 3 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 2 0 1 1 0 0 0
 0 1 0 1 2 1 1 0 0 1 2 1 0 0 1 0 2 0]",[0],0.0010119503138129866,1636677706.8252301
"[0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0
 0 0 2 0 0 0 0 2 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 1 0 1 0 0 3 1 1 0 0 0 0
 0 0 0 0 2 1 0 0 2 1 2 0 0 0 2 2 2 1]",[0],0.02010106888875369,1636677706.8252301
