center,sigma,support,input_variable,term_index
0.0,0.4511249731023831,26701,0,0
0.54,0.471630648726872,2006,0,1
0.83,0.3679630410874125,947,0,2
0.0,0.4470840214523981,28151,1,0
0.5660377358490566,0.48147509476779277,1075,1,1
0.8679245283018868,0.37830185887274637,428,1,2
0.0040983606557377,0.45381423352072214,22580,2,0
0.2868852459016393,0.355767948500813,5979,2,1
0.9016393442622952,0.13008641030320087,19,2,2
0.0080645161290322,0.45200692872772835,26143,3,0
0.2983870967741936,0.35829817521100427,2883,3,1
0.5161290322580645,0.2783701207408571,576,3,2
0.5230769226572307,0.4547926466922615,14411,4,0
0.8334328360999881,0.3688198589780083,12073,4,1
0.1524050631417114,0.39630473675580824,3170,4,2
0.604651163,0.4556817818068156,14838,5,0
1.0,0.4079941533828201,10476,5,1
0.0,0.503369410230811,1905,5,2
0.318181818,0.3583797524660392,2435,5,3
0.615384615,0.4556817818068156,17112,6,0
0.0,0.508260448763109,891,6,1
1.0,0.4031031148505222,8484,6,2
0.333333333,0.3563665216460644,3167,6,3
0.604651163,0.4556817818068156,13653,7,0
1.0,0.4079941533828201,10384,7,1
0.0,0.503369410230811,3109,7,2
0.3125,0.36096885341618123,2508,7,3
0.2459016393442623,0.36977456064651437,17527,8,0
0.4672131147540984,0.28573488777230655,4548,8,1
0.0,0.2969401774888676,6220,8,2
0.639344262295082,0.22130447190208058,1031,8,3
0.2698412698412698,0.3761182960945145,9385,9,0
0.0,0.3110208986935408,17746,9,1
0.5079365079365079,0.2965548103822134,1990,9,2
0.6984126984126984,0.23507393505907156,533,9,3
0.2641509433962264,0.45281585865079793,29231,10,0
0.5345911949685535,0.34964262503416044,383,10,1
0.26875,0.4528337706705231,29330,11,0
0.54375,0.35172937533213583,285,11,1
0.0,0.42596341384609376,24364,12,0
0.2608695652173913,0.33185521522047706,5190,12,1
0.4673913043478261,0.2600358016790374,71,12,2
0.0359637981300769,0.4392999820203671,29544,13,0
0.3951418396841997,0.3833208809714487,95,13,1
0.4473323534085492,0.15613147336875627,3120,14,0
0.3281324487525822,0.13238296162921173,26276,14,1
0.6086127443190847,0.15155827258499072,258,14,2
0.0,0.4556817909204512,28688,15,0
0.684666955324314,0.5398311536066565,184,15,1
0.2900840774548913,0.3600269247486568,782,15,2
1.7655990677636926e-05,0.08213664519343515,27100,16,0
0.0491542780465411,0.06345898608710152,2285,16,1
0.0985557399625693,0.05424083923330803,162,16,2
0.0556343141661768,0.20805124607959952,28765,17,0
0.1817883199059507,0.16151170515736718,769,17,1
0.0151278813538339,0.0984608410663319,29013,18,0
0.1536804575503231,0.11236630532830674,287,18,1
0.0766545346505236,0.0772669955360117,354,18,2
0.0463770137387544,0.16788150727665493,28765,19,0
0.1563219192412302,0.1340406440782776,761,19,1
0.0119726754115039,0.20885759949533714,29466,20,0
0.1370408052032993,0.16142006797843997,164,20,1
0.0091067429708882,0.096714744931877,29439,21,0
0.0818113958696193,0.08148755824447834,90,21,1
0.0053261106667636,0.16521073835048608,29566,22,0
0.1260452264960372,0.13761487097446978,64,22,1
0.0561551140342473,0.2058769683636295,29330,23,0
0.1917126674423566,0.16470959165619456,250,23,1
0.0164301896802599,0.13628475773567839,29396,24,0
0.1784565237163267,0.14197482746102041,227,24,1
0.0463468943893518,0.15624678239655204,29375,25,0
0.2021060683732464,0.14910000913201493,251,25,1
0.0003187782136617,0.05718296425743653,29643,26,0
0.0037337440768975,0.4556817818068156,29649,27,0
0.3157109711634073,0.37000322962533816,4,27,1
0.0002551995916966,0.06646563834932077,29647,28,0
0.0001216002594138,0.06014866533395056,29616,29,0
0.0598926063610078,0.11473606753121493,28526,30,0
0.1289756299049979,0.08884790902673506,730,30,1
0.1854777640093625,0.07017094765793204,352,30,2
0.0151447551060876,0.09857066502647431,29059,31,0
0.1503817172318064,0.11091035238082556,287,31,1
0.0767400356930398,0.0773531797219903,308,31,2
0.0498393120819942,0.10093630504331981,29043,32,0
0.1593850429948753,0.10038614637337152,545,32,1
0.2197342134977851,0.07769309073201502,66,32,2
0.0132027162431259,0.4556817818068157,29644,33,0
0.4348769898697539,0.4199901752516844,7,33,1
0.006184274,0.4556817818068157,29632,34,0
0.2981186685962373,0.36087007600371523,17,34,1
0.6306801736613603,0.3319772571902892,3,34,2
0.0187680152347127,0.3792657201881927,29650,35,0
0.4640210006176652,0.3925265338282042,3,35,1
0.0,0.07498011133964572,27904,36,0
0.0474750689582007,0.05912357968409719,1590,36,1
0.0959403069524011,0.05164651584693722,107,36,2
0.0,0.09646894440355258,29564,37,0
0.2096641893067535,0.14377462356615922,45,37,1
0.0858541920409634,0.08735666340658702,45,37,2
0.0,0.0672382227785565,27889,38,0
0.0413423436173223,0.05245806419288931,1515,38,1
0.0804733937163883,0.04406033872955882,218,38,2
0.0,0.0958015221306893,29636,39,0
0.0671634351791855,0.07850591488006246,17,39,1
0.0,0.0958015221306893,29645,40,0
0.1051437970393261,0.09581287384615896,8,40,1
0.0,0.10498601394226656,29598,41,0
0.1112715692809005,0.10319743392549455,37,41,1
0.0,0.207588376381185,29240,42,0
0.125,0.16075441091644443,278,42,1
0.4555555555555556,0.23100534999991962,46,42,2
0.2375,0.1718300086406001,90,42,3
0.0,0.207588376381185,29324,43,0
0.125,0.16075441091644443,225,43,1
0.4555555555555556,0.23100534999991962,46,43,2
0.2375,0.1718300086406001,59,43,3
0.0,0.24303029274393734,29536,44,0
0.2222222222222222,0.22277776455126103,92,44,1
0.0,0.24303029274393734,29536,45,0
0.2222222222222222,0.22277776455126103,92,45,1
0.0,0.11413827568475003,29424,46,0
0.237093690248566,0.050371134433285863,21,46,1
0.0,0.18769690980411166,27724,47,0
0.1645639056500274,0.168837228649749,1728,47,1
0.2911135490948984,0.14208498133685052,150,47,2
0.0,0.45568061339946386,29137,48,0
0.3712207739854877,0.39699885043314415,471,48,1
0.9994715543795092,0.48478186024804215,46,48,2
0.4126984126984127,0.39299539912439657,14439,49,0
0.6507936507936508,0.3049933618971544,5497,49,1
0.1375661375661375,0.32187046492703647,9707,49,2
0.8359788359788359,0.2368821960979875,11,49,3
0.26875,0.4528337706705231,29329,50,0
0.54375,0.35172937533213583,286,50,1
0.0,0.2455237075887719,27854,51,0
0.3664693218514532,0.2897552473531916,284,51,1
0.1485468245425188,0.19045193548366532,1516,51,2
0.0,0.1822727218363619,29019,52,0
0.1636363636363636,0.16570247066838711,478,52,1
0.4,0.19055783830671363,85,52,2
0.2727272727272727,0.17398759283476112,72,52,3
0.2641509433962264,0.45281585865079793,29231,53,0
0.5345911949685535,0.34964262503416044,383,53,1
0.1744966442953019,0.45262351481482366,27500,54,0
0.4496644295302013,0.35170070407908594,2100,54,1
0.26875,0.4528337706705231,29330,55,0
0.54375,0.35172937533213583,285,55,1
0.1744966442953019,0.45262351481482366,27861,56,0
0.4496644295302013,0.35170070407908594,1743,56,1
0.1669351587240973,0.4556817818068157,20650,57,0
0.4440331710540104,0.35410940689702963,4502,57,1
