center,sigma,support,input_variable,term_index
0.0,0.4483320847622769,18307,0,0
0.4193548387096774,0.41525840249367396,1528,0,1
0.6774193548387096,0.32522449977762813,1059,0,2
0.8870967741935484,0.25815842994508187,786,0,3
0.0,0.44369016508342984,19381,1,0
0.2894736842105263,0.35375296674895107,623,1,1
0.5263157894736842,0.28480111590766866,797,1,2
0.7105263157894737,0.2263419388129846,527,1,3
0.0026041666666666,0.42957501305746687,18380,2,0
0.2708333333333333,0.3370146511279575,1813,2,1
0.7369791666666666,0.23911426831789934,464,2,2
0.8802083333333334,0.18482405603232172,661,2,3
0.0049261083743842,0.42874492770986106,19142,3,0
0.2610837438423645,0.33109883160840053,1676,3,1
0.5172413793103449,0.2822757835576703,216,3,2
0.6896551724137931,0.2197037162282861,193,3,3
0.8472906403940886,0.18168346903935534,453,3,4
0.4930648174873233,0.45552497755636845,14799,4,0
0.0408000453179031,0.4338513060087991,1946,4,1
0.8408791202831588,0.38625513001408585,4935,4,2
0.538011696,0.4556817818068156,13652,5,0
0.0,0.47300301916959464,2946,5,1
1.0,0.4383605444440366,5082,5,2
0.605769231,0.4556817818068156,14567,6,0
0.0,0.5038788934492323,1428,6,1
0.3125,0.3614783366346024,1990,6,2
1.0,0.40748467016439893,3695,6,3
0.607142857,0.45568178180681557,11688,7,0
0.0,0.5045048297924485,2791,7,1
0.333333333,0.35261090267540385,2474,7,2
1.0,0.40685873382118276,4727,7,3
0.1273291925465838,0.45426662099375104,8660,8,0
0.484472049689441,0.3898768039993097,11480,8,1
0.8664596273291926,0.36900318200660615,1540,8,2
0.1325301204819277,0.4529367108320759,14845,9,0
0.5,0.393917684875169,5993,9,1
0.8554216867469879,0.3589180299472358,842,9,2
0.475,0.4253029963530279,11765,10,0
0.025,0.4177082999895809,9877,10,1
0.1555555555555555,0.3493560327185587,12978,11,0
0.475,0.32024302999201215,8682,11,1
0.0,0.24179034231725213,13075,12,0
0.1632653061224489,0.1952921967597388,4472,12,1
0.2857142857142857,0.153443867580704,3243,12,2
0.0536556247971543,0.4342440011002696,21636,13,0
0.4646180141596442,0.4043900743904205,36,13,1
0.3596814599075337,0.3225847241703761,19510,14,0
0.6073850791258478,0.2741663886505864,2105,14,1
0.8315342471333428,0.23922388659346377,35,14,2
0.9854681358072466,0.18975681196810834,30,14,3
0.0311607689367929,0.3989309254677397,20706,15,0
0.3472977843509494,0.3435233412128814,832,15,1
4.276245456489202e-05,0.45552589323489107,21502,16,0
0.9566388710711996,0.6636663658613398,20,16,1
0.3223006200555912,0.37460998137032825,152,16,2
0.1189810500155327,0.3708165353970033,21091,17,0
0.598695246971109,0.40400528772524436,272,17,1
0.3405716060888474,0.28638304712155277,317,17,2
0.0364031738654095,0.11872748659141091,21181,18,0
0.1112678861923574,0.09347822880330375,464,18,1
0.1080596217340687,0.4556382982312477,21342,19,0
