0,1,2
10.934828,2.9794474,3.0447721
10.619815,10.788729,11.095033
9.862573,10.433128,10.902248
3.3460407,9.069498,3.3977814
9.4166565,9.196736,9.665678
10.782804,10.466468,4.1086144
10.958354,11.058179,11.258074
11.038289,10.502551,5.075475
9.429215,9.2617035,9.674506
10.113939,10.494646,10.218934
9.648919,10.171353,9.886287
10.240853,10.263385,10.322699
10.385087,10.241362,10.392348
10.04423,10.361461,10.227521
5.371379,10.85672,5.4703746
10.172669,10.63385,10.111709
10.244317,3.303554,3.389749
10.470077,10.551699,10.589376
4.6061044,11.647993,4.6927137
8.997812,10.538606,11.24948
4.119146,10.393216,10.301705
10.525583,9.899513,3.2420917
11.397595,10.792643,10.646639
9.89275,10.434519,10.8799515
10.523656,10.536797,10.651926
10.632892,10.3899555,10.319956
10.103576,10.123022,10.568049
10.530566,10.352806,10.463112
10.519794,10.66637,11.00373
11.255829,11.001101,11.607246
10.828637,10.767225,10.64341
9.99883,4.1602535,4.209737
3.074098,3.0827212,9.15141
4.986504,4.9171295,10.61443
9.845941,10.238358,10.065624
10.468621,10.54752,9.886874
11.066675,3.9248853,4.0188527
11.17865,10.52887,10.648874
7.6017704,7.448038,18.738792
9.797358,10.533515,11.790257
18.628124,7.388726,10.959343
10.131241,10.359987,10.201157
11.011918,10.617614,10.955407
10.5948925,10.582883,10.1754055
10.099226,10.323122,11.287041
10.933778,11.313167,10.923156
10.579872,5.097979,5.162621
11.416136,11.306376,11.6731615
10.292297,3.3805041,3.4733644
9.808034,10.30333,10.704242
10.173699,10.426344,10.354716
3.462113,9.327138,3.4310646
10.519447,10.761225,4.420078
10.305213,10.333813,10.501295
10.516311,9.873169,10.584102
10.151888,10.164184,9.993552
10.334004,2.869985,2.960989
10.954069,10.727751,4.0821166
9.953509,10.151671,10.173191
10.484871,10.39228,10.650245
10.48308,10.37099,10.764615
10.122684,10.433851,11.30237
4.258877,10.53016,11.151883
10.057784,10.607916,3.9494448
10.78488,10.627133,10.771721
9.778347,10.494648,3.8724508
10.519131,10.450063,10.303068
9.984261,10.572657,10.148074
10.20242,10.316629,10.378458
10.041002,10.378424,10.669359
10.199837,10.279737,9.650201
11.116172,11.373406,10.598401
10.916995,11.096622,12.619942
10.336614,2.6081724,2.6964054
9.765649,10.084922,10.552072
9.470363,9.235148,9.665913
10.031147,10.138529,10.69175
10.562126,10.525118,10.431037
4.689986,11.31638,11.076505
4.906562,11.867183,5.0188837
10.006082,10.3124485,10.822028
10.21116,4.8901167,5.0250163
10.512436,10.641913,11.3032675
11.147904,10.596453,5.0330863
10.183862,10.828836,11.311203
3.7941823,10.708696,3.831182
9.939866,9.9794445,4.5981345
10.563681,10.429326,10.17033
10.499378,4.9033012,11.612057
4.9886513,4.9207726,11.505014
10.727956,11.198714,10.89006
10.343547,10.361709,11.05881
10.509127,10.33901,10.60503
10.168733,3.5611472,9.311994
3.8198233,10.851006,10.524939
9.937031,3.7830153,3.814436
10.978774,11.382966,11.40928
10.646536,3.6293325,3.7476974
8.671362,3.456411,10.204101
3.7622428,10.13895,9.961884
1.2169352,5.10347,1.1916151
10.62079,3.8264775,3.903174
10.418327,11.105152,10.94099
10.118581,11.816982,11.52164
10.099258,10.551183,10.276806
11.091959,10.98945,10.838846
10.22306,10.29653,10.888492
4.3652434,10.607194,9.827794
10.982437,4.465933,4.5244417
10.789187,10.61521,11.2213955
10.741183,10.593734,10.628775
10.438998,10.280507,10.186409
10.959392,10.802554,11.35149
10.206197,10.262491,10.622674
10.268359,10.108746,16.55405
4.2649426,10.337084,10.322078
4.764042,10.483491,11.615605
9.773704,10.303311,3.5580034
10.888004,10.629618,10.511611
3.4103317,10.429489,3.4273806
10.914114,10.756,10.803501
10.375226,4.9246683,4.9894195
11.283599,10.407823,5.268282
4.4811883,10.631755,4.5276127
10.000588,10.472968,10.246516
10.452276,3.0907316,3.1406646
4.169393,10.2579155,10.655554
10.744603,10.485,11.043325
10.223529,10.059925,11.498236
12.375075,5.3334208,11.795106
11.879442,3.66742,3.7932854
10.842558,10.779258,4.056587
9.3355,9.803018,9.568457
10.091098,8.263715,9.0336075
9.463307,9.195613,9.737863
3.4163523,9.725649,3.447474
9.906805,9.68553,8.799873
10.86435,10.847347,10.405243
10.909363,11.367784,11.933504
10.852939,3.7291284,3.7560873
4.78646,11.000507,4.8192177
13.596403,13.298464,11.503302
3.5365372,9.958651,3.56775
10.096387,10.104378,9.966087
11.301504,4.6319757,4.752867
10.69603,11.6075115,11.80681
10.551341,10.444873,9.374511
10.5391,10.494118,10.251662
9.678524,11.104899,10.379692
9.416619,4.185808,10.35881
9.993771,10.0335045,10.072836
3.3898573,8.864309,3.5013561
10.623677,3.5362015,3.6153598
10.563502,10.4737625,10.712902
11.20176,10.651815,10.758839
9.661033,10.6973,10.606005
10.078428,10.237984,10.117258
10.424,10.465426,10.494266
10.891476,10.174914,10.943446
10.706638,11.017129,10.74854
10.724373,10.744831,4.55941
11.953541,11.702009,5.1495633
11.117046,6.4530735,13.3636055
10.427154,10.513408,10.719615
11.079949,10.768634,4.692714
9.939553,10.088045,10.550462
4.426291,10.735831,10.416917
11.393687,3.7110748,3.8432126
9.532878,11.059232,11.130531
11.04241,11.029724,10.678837
11.403294,6.6225815,13.857714
13.228532,11.121424,6.1475306
3.8093243,10.882505,3.802445
10.913548,10.772863,10.469769
11.250374,10.128257,12.564192
9.87016,10.182617,11.040564
11.451935,4.83313,4.9985104
11.17675,10.496016,10.920084
10.305266,10.593439,11.093061
10.875656,3.4902372,3.5666394
10.098779,10.576628,4.007925
10.199461,10.2722225,10.2356615
4.7881336,10.479815,11.60385
9.444803,9.188128,9.684698
4.6347675,11.291618,4.704798
10.144953,10.240905,9.805483
10.651274,11.242598,10.772099
10.7015505,10.864231,11.204601
10.543992,10.692734,10.975467
4.010271,6.0887737,0.051808357
5.1607685,11.15089,10.63822
10.134448,10.2787485,10.144585
2.1226392,6.9774075,2.1850448
8.062629,8.564474,2.8302817
9.90546,10.220986,3.4735966
5.3211517,10.995589,5.404673
11.132817,11.12885,5.058114
9.572124,10.128387,9.648405
9.51275,9.955511,10.364039
3.8491764,10.903469,10.134616
10.844039,10.80998,10.5104065
9.460289,9.204119,9.729662
9.87545,10.540799,4.093353
10.550258,10.732775,10.558266
10.636035,10.6592865,10.454914
10.565891,10.246863,10.352231
10.489426,10.41323,10.7287855
10.880002,10.981557,10.941029
9.482597,9.808132,9.305532
7.9120626,9.409694,9.758497
9.757348,2.587576,2.5974894
4.8425417,11.119884,10.728635
10.816851,10.790249,10.17948
9.978948,10.263794,9.922108
9.432678,9.184629,9.691862
9.6884365,10.706547,10.436959
9.959589,10.3557415,9.965716
11.541719,10.72428,10.886433
10.81835,10.72528,4.7178984
10.37278,10.408476,10.391726
9.342649,11.037937,3.9362621
4.124438,9.517304,9.822169
10.338885,10.319473,10.802088
5.125741,10.615533,5.1800013
11.11738,10.838405,4.817442
9.823377,10.261567,10.515049
10.763995,10.825053,11.0612755
10.057582,10.337219,11.412034
10.4509945,10.57683,10.616112
10.661084,2.9304414,3.065012
11.672933,11.516051,13.16436
10.191288,9.865393,10.13954
10.490443,10.194817,10.0746155
9.9118185,10.127964,10.311008
9.458895,9.235434,9.70586
9.994698,9.888799,10.483335
10.616937,10.131738,11.322093
3.4250169,9.7764225,10.124564
10.687352,10.662267,11.315594
10.907775,11.344362,10.552363
10.1952,11.023438,4.441961
9.464764,9.214927,9.741129
11.204188,10.870941,10.98714
10.146311,3.942893,10.425987
10.0608635,9.961636,3.766405
10.505062,9.430843,4.8238153
10.4526005,9.883288,4.584481
9.397938,9.22187,9.743065
9.257359,9.494276,8.916546
10.508802,10.942183,9.649953
10.683686,10.809127,10.907994
5.2440658,10.901782,5.3283153
3.9934287,10.139779,11.008554
11.242233,3.9104552,4.01762
6.917181,11.245202,15.3739605
10.86445,11.101104,11.120737
3.5540352,8.347305,3.6321487
10.889065,10.795989,11.155267
11.031584,10.416611,4.5839224
9.912212,4.2656517,9.718564
10.71375,10.812504,10.564077
4.67507,11.150834,11.57363
11.009676,10.993973,5.37883
9.968263,10.210186,11.070944
4.655573,9.432584,4.7022977
9.688931,10.196989,9.849876
7.298963,11.754172,17.183273
5.19508,10.718533,5.2147455
9.942655,9.868374,4.113274
10.225817,10.478997,3.852491
10.11852,9.910583,10.144314
4.55011,10.377104,10.666646
10.953361,10.562561,10.343419
10.339811,10.87849,11.169144
10.079538,10.403061,10.618513
5.6109796,10.604496,11.388611
5.921484,5.7879076,11.97035
13.234878,12.123758,6.2128696
10.627986,10.791815,10.6999855
10.187543,2.5515952,2.6626644
10.185965,10.442802,10.27611
11.627253,5.683189,5.8067904
11.024637,11.124033,5.304901
4.8823967,10.896091,4.8969393
3.903391,10.013589,9.289244
10.620286,10.442172,10.194285
10.278361,10.269387,10.524815
9.906176,10.259632,10.494312
9.7016535,10.524029,9.953757
11.240318,10.885351,10.773431
11.180332,4.884923,4.9934826
10.141065,10.784628,10.268022
10.078751,10.19727,10.838097
10.260559,4.5922923,10.202546
4.612348,10.743128,9.67027
10.825983,10.229417,10.168008
4.9536376,10.13385,4.9959135
9.269159,10.5376835,9.634342
10.216924,10.627935,10.955542
9.76196,3.7800303,8.725955
10.995898,11.124424,9.396618
9.766318,10.776397,11.181098
10.427224,3.2641935,3.4135756
4.710899,10.715533,4.706108
10.291394,9.869814,10.639358
3.9638724,10.279384,10.296089
10.474736,10.892278,5.1989937
10.248082,11.373448,4.4374495
5.5652933,11.089294,11.531874
4.668158,11.060127,10.82407
11.164835,10.61388,10.693995
10.325981,4.0306015,10.205861
10.124813,10.018851,10.507084
10.990806,4.776849,10.711977
4.4864674,4.400129,10.404788
10.552106,3.5081983,3.6062675
10.103131,9.808071,4.169779
11.944393,4.938381,11.27839
10.63511,9.984342,11.100947
10.728493,10.980415,10.063109
10.652803,10.57589,11.169628
4.0462637,3.9624119,10.601927
10.459147,10.291468,10.158933
11.070661,4.441409,4.5213704
9.926818,3.8091211,3.918757
10.702126,10.60389,11.07259
10.493399,10.603627,10.587213
10.279456,5.195358,11.032673
9.452764,9.24451,9.6914625
7.432334,20.353167,14.235558
4.8536983,4.7913404,11.090192
4.422321,9.965678,11.606341
4.0553894,10.496502,10.157021
4.3009925,4.1922927,10.125607
11.172001,10.473904,10.475985
5.2824597,10.683452,5.292049
11.225526,11.175869,13.61522
4.6481256,9.902026,4.710526
9.808511,10.086783,9.344806
5.2732654,10.816647,10.7197075
10.51403,10.680213,10.491626
10.16322,10.601147,12.423843
4.3322,9.586928,4.3442955
3.71351,9.792174,3.7231684
4.1381574,4.142098,10.022012
10.568545,4.9641476,5.078102
5.1779323,10.52569,5.2091317
10.291517,2.8335576,2.8820782
9.935527,3.2174482,3.3010235
9.88586,9.867,10.119591
10.810614,4.82631,10.733223
11.019709,10.814011,10.790775
11.159014,5.041561,10.87204
10.567716,10.549216,4.3542223
10.2294445,10.751036,10.53306
10.617632,5.0100327,10.8152685
5.342828,11.131195,10.7908535
5.004092,11.119114,10.852711
9.9336605,9.849781,9.959702
10.119039,10.43923,8.764452
12.140127,4.763919,4.937146
2.1332831,2.1312523,7.648861
7.3664713,18.434074,10.221111
4.2755046,9.955498,4.2752643
10.046384,10.130413,4.431947
10.149715,9.97944,10.6083145
10.8777685,4.513254,4.6362114
10.813707,9.678886,18.209236
5.129959,10.6775055,5.2214212
4.4953737,10.970847,11.012792
9.883188,4.601004,4.821685
10.547387,10.317326,10.682839
3.998623,10.469786,4.1028624
10.05139,4.827083,4.9083347
3.0710635,9.820345,3.1757574
3.7354746,10.065918,10.319322
10.521645,3.459475,3.5586925
10.782392,10.817053,11.019276
11.421279,10.171932,12.154634
5.4130216,11.249846,5.4074
11.085982,4.7467604,11.246287
3.8141303,9.366131,3.8959613
4.648724,10.097277,9.535643
3.8362904,10.450398,3.810762
8.962657,9.298067,9.541161
4.0227103,9.814942,4.0255427
11.508743,5.069031,5.202272
11.284341,10.778751,10.573647
10.645248,10.304706,11.07184
10.575135,10.535271,10.458377
9.381752,10.207587,11.590751
3.8287354,10.23387,3.864728
11.907478,11.657444,10.188156
10.847191,10.993691,13.290573
10.379133,10.599147,11.100355
11.36672,10.961161,10.896319
10.79925,10.729471,10.542508
11.015738,11.545046,13.802025
10.31641,10.319288,9.997079
9.465725,9.227394,9.6640005
9.66407,10.168839,9.584243
10.616676,10.743335,10.713069
3.701723,8.5522585,3.77809
10.090087,10.31746,10.3442
8.82883,2.524819,2.6125927
10.733683,3.0773787,3.1077633
4.3898287,10.873127,4.418151
10.228914,10.151781,10.061235
5.223545,10.723784,5.290882
4.566893,10.461787,10.656822
9.72092,10.113779,3.5374074
5.766318,12.288242,5.862876
4.803,11.007684,4.78041
1.244484,6.189867,1.2680998
5.3701134,6.9495144,1.006278
10.947423,10.419886,10.362955
11.1458435,4.1574397,4.2563257
3.113439,8.475868,3.1643734
4.4032536,10.394987,4.480719
10.731026,10.090077,10.914233
4.041698,9.833046,4.094362
10.728087,10.482924,10.48412
10.204808,4.2625227,4.3405623
11.595143,10.4836,10.36902
10.358638,10.261396,11.223434
10.171313,9.865392,10.757529
10.187611,10.558637,10.289789
10.486898,2.7505798,2.798293
5.206275,10.73691,5.3115025
4.128477,10.327335,4.2037807
4.1308994,10.584692,4.1972485
4.5575275,10.989479,11.023258
9.532762,10.22687,9.959566
9.9132805,9.765184,3.8451433
10.8560505,9.445457,9.346696
10.935112,11.05246,4.7543497
11.234099,10.792379,5.3419385
11.147569,11.060793,11.241726
10.788252,11.2687435,10.906972
10.363455,10.78976,10.518641
11.049381,10.641422,10.838159
4.2640886,10.637587,10.181944
10.2627735,10.733838,10.739827
14.726427,9.9765835,6.360415
20.738262,7.3197446,12.002193
10.659906,5.075287,5.1945357
11.47292,10.668891,4.999905
10.49445,10.097445,9.815508
3.6068854,10.478827,10.097921
3.3822594,9.184333,3.424326
10.445241,10.244643,10.562314
9.971042,10.529478,10.466335
10.684232,9.506778,10.261947
10.480622,10.891996,9.744245
11.091042,10.525265,4.057555
16.366745,7.2325807,11.415761
4.015838,3.933721,11.011261
6.732852,6.6234703,13.567503
11.461861,5.7054486,5.845416
10.635334,4.6129727,4.6736274
10.813794,10.7956915,10.758291
10.693523,10.80802,3.9303946
10.685647,10.636971,10.131268
10.299453,10.288542,10.803008
10.97769,11.467728,11.012935
9.679115,10.253629,3.9829483
10.016822,10.261643,4.085782
11.454597,10.640014,4.7815695
4.3237934,4.2606926,10.501433
4.760196,10.007618,4.858339
4.990694,11.399208,5.0522056
14.40276,12.642764,6.7077894
10.21426,11.0400915,4.8133845
10.857026,5.370408,5.5122967
18.289982,10.791158,10.3947735
10.751646,3.9707737,4.1061115
8.633639,8.344069,7.613247
10.982312,10.7288885,4.200499
11.203731,10.788087,10.605966
11.531798,5.602003,5.7699075
4.1621737,10.811946,11.299529
10.074044,10.2698965,10.028367
11.009187,10.804573,8.020639
5.01162,10.42901,5.056236
10.562947,3.030631,3.1103444
9.465585,9.210828,9.688968
10.201768,10.981402,11.195134
9.959164,11.097299,10.395614
10.969831,11.345397,5.2259884
10.136386,4.0926766,4.169169
11.090295,4.7946672,4.905474
9.753542,10.263216,10.360785
9.4539795,9.248549,9.712636
9.824394,10.518634,10.412212
9.848239,11.607149,11.225403
10.701551,10.207124,4.9893794
10.79982,10.248483,10.918629
10.0968,4.1805882,10.377258
10.689793,4.3695655,4.4553127
4.637685,10.19742,9.797983
10.109508,10.122049,10.528824
7.7813873,7.615838,20.711739
12.980982,6.226095,10.662217
3.7237263,10.041776,3.7390246
10.437233,4.0112686,4.0566697
7.4153776,11.254244,20.786
10.180868,10.601646,10.692305
4.2661147,10.193798,11.136886
4.4662623,10.477778,4.5078807
11.419226,5.539117,5.7096176
10.149441,10.244645,9.988115
11.169337,11.703712,11.406927
11.764943,11.377226,17.144571
10.8689995,10.302669,11.404713
10.654551,10.5885935,12.94778
4.776549,4.7195477,11.148971
9.787196,10.631384,10.651297
10.689076,3.7064714,3.7641997
10.913238,10.780504,5.0734634
5.0309815,10.794766,10.865379
9.561078,10.549831,10.9683485
4.2362,10.575011,4.2554393
9.899313,9.777702,10.6039715
10.635366,10.805466,4.4272985
10.148802,11.0085,4.0332994
11.622225,10.755537,11.279651
4.2695045,10.298584,4.3008285
10.290608,10.271844,4.318511
5.002284,10.745636,5.030419
11.216233,5.525771,11.327116
10.389702,9.824566,4.1006584
7.1572623,18.593456,15.709927
4.868994,10.952087,10.486525
10.565691,11.797745,10.278748
20.292461,7.6194606,7.9904404
6.867625,14.358876,17.380962
10.04461,2.9267588,3.011897
10.465231,5.135461,11.65619
