feat,min_val,max_val
ntellsSinceElicit,0.0,142.0
ntellsSinceElicitKC,0.0,75.0
nElicitSinceTell,0.0,194.0
nElicitSinceTellKC,0.0,110.0
pctElicit,0.144578313,1.0
pctElicitKC,0.0,1.0
pctElicitSession,0.0,1.0
pctElicitKCSession,0.0,1.0
nTellSession,0.0,146.0
nTellKCSession,0.0,79.0
kcOrdering,2.0,158.0
kcOrderingSession,1.0,158.0
kcOrderingPb,1.0,68.0
durationKCBetweenDecision,-11.0,1292295.0
timeInSession,-27783.0,77077.0
timeBetweenSession,0.0,1287388.0
timeOnCurrentProblem,0.0,60333.0
timeOnTutoring,420.0,62207.0
timeOnTutoringWE,0.0,59976.0
timeOnTutoringPS,347.0,46668.0
timeOnTutoringKC,0.0,60327.0
timeOnTutoringKCWE,0.0,59752.0
timeOnTutoringKCPS,0.0,42749.0
avgTimeOnStep,2.662650602,493.32
avgTimeOnStepWE,-1.0,1152.4807692307693
avgTimeOnStepPS,5.456647398843932,432.3271028
avgTimeOnStepKC,0.0,6473.0
avgTimeOnStepKCWE,-1.0,3019.0
avgTimeOnStepKCPS,-1.0,6473.0
timeOnLastStepKCPS,-1.0,42175.0
timeOnTutoringSession,0.0,62207.0
timeOnTutoringSessionWE,0.0,59976.0
timeOnTutoringSessionPS,0.0,46668.0
avgTimeOnStepSession,-1.0,5398.0
avgTimeOnStepSessionWE,-1.0,6297.0
avgTimeOnStepSessionPS,-1.0,5398.0
timeOnTutoringProblem,0.0,60186.0
timeOnTutoringProblemWE,0.0,59691.0
timeOnTutoringProblemPS,0.0,42584.0
avgTimeOnStepProblem,-1.0,59644.0
avgTimeOnStepProblemWE,-1.0,59644.0
avgTimeOnStepProblemPS,-1.0,42175.0
nTotalHint,0.0,793.0
nTotalHintSession,0.0,793.0
nHintKC,0.0,196.0
nHintSessionKC,0.0,196.0
nTotalHintProblem,0.0,378.0
AvgTimeOnStepWithHint,-1.0,3554.0
durationSinceLastHint,-1.0,774342.0
stepsSinceLastHint,0.0,231.0
stepsSinceLastHintKC,0.0,153.0
totalTimeStepsHint,0.0,11357.0
totalStepsHint,0.0,117.0
earlyTraining,0.0,0.0
simpleProblem,0.0,0.0
nKCs,1.0,157.0
nKCsAsPS,0.0,114.0
nKCsSession,0.0,157.0
nKCsSessionPS,0.0,114.0
newLevelDifficulty,0.0,0.0
performanceDifficulty,0.0,0.648749
nPrincipleInProblem,7.0,7.0
quantitativeDegree,0.2857142857142857,0.3690476190476191
nTutorConceptsSession,0.0,718.0
tutAverageConcepts,0.571428571,4.45925925925926
tutAverageConceptsSession,0.0,10.181818181818182
tutConceptsToWords,0.02127659574468085,0.06796116504854369
tutConceptsToWordsSession,0.0,0.069306931
tutAverageWords,20.894736842105264,100.0
tutAverageWordsSession,0.0,175.0
tutAverageWordsPS,17.177570093457945,128.09278350515464
tutAverageWordsSessionPS,0.0,175.0
nDistinctPrincipleInSession,0.0,6.0
nPrincipleInSession,0.0,54.0
principleDifficulty,1.0,6.0
principleCategory,0.0,1.0
problemDifficuly,23.0,23.0
problemCompexity,4.0,4.0
problemCategory,0.0,0.0
pctCorrect,0.182795699,0.9897959183673468
pctOverallCorrect,0.4274193548387097,0.9936305732484076
nCorrectKC,0.0,97.0
nIncorrectKC,0.0,57.0
pctCorrectKC,-1.0,1.0
pctOverallCorrectKC,0.0,1.0
nCorrectKCSession,0.0,97.0
nIncorrectKCSession,0.0,57.0
pctCorrectSession,-1.0,1.0
pctCorrectKCSession,-1.0,1.0
pctOverallCorrectSession,-1.0,1.0
pctOverallCorrectKCSession,-1.0,1.0
nStepSinceLastWrong,0.0,159.0
nStepSinceLastWrongKC,0.0,88.0
nWEStepSinceLastWrong,0.0,142.0
nWEStepSinceLastWrongKC,0.0,75.0
nStepSinceLastWrongSession,0.0,159.0
nStepSinceLastWrongKCSession,0.0,88.0
nWEStepSinceLastWrongSession,0.0,142.0
nWEStepSinceLastWrongKCSession,0.0,75.0
timeSinceLastWrongStepKC,-28307.0,1292452.0
nCorrectPSStepSinceLastWrong,0.0,123.0
nCorrectPSStepSinceLastWrongKC,0.0,87.0
nCorrectPSStepSinceLastWrongKCSession,0.0,87.0
pctCorrectPrin,0.0,1.0
pctCorrectPrinSession,-1.0,1.0
nStepSinceLastWrongPrin,0.0,56.0
nWEStepSinceLastWrongPrin,0.0,48.0
nStepSinceLastWrongPrinSession,0.0,56.0
nWEStepSinceLastWrongPrinSession,0.0,48.0
nCorrectPSStepSinceLastWrongPrin,0.0,44.0
nCorrectPSStepSinceLastWrongPrinSession,0.0,44.0
pctCorrectFirst,0.0,1.0
